code,description,source,notes
# Bootstrap DTC description set — covers the codes Sean is hitting
# on the dev RS7 right now (P0077, P005F, P005C) plus the most
# common P00xx/P01xx codes a Bosch MG1/MDG1 powertrain emits in
# typical field use (fuel trim, MAF/MAP, O2 heaters, VVT, knock,
# misfire, EVAP, ambient).
#
# source: "saej2012" = generic SAE J2012 description, "todo" =
# description uncertain, needs verification against authoritative
# reference. NHTSA CSV (when supplied) will layer on top of this
# bootstrap — its descriptions WIN where they overlap.
#
# Lines starting with '#' are comments. Code column must match
# /^[PCBU][0-3][0-9A-F]{3}$/. Quoting follows RFC 4180; we avoid
# embedded quotes in descriptions for parser simplicity.
P0011,Camshaft Position A - Timing Over-Advanced or System Performance (Bank 1),saej2012,
P0012,Camshaft Position A - Timing Over-Retarded (Bank 1),saej2012,
P0013,Camshaft Position B - Actuator Circuit/Open (Bank 1),saej2012,
P0014,Camshaft Position B - Timing Over-Advanced or System Performance (Bank 1),saej2012,
P0015,Camshaft Position B - Timing Over-Retarded (Bank 1),saej2012,
P0016,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A),saej2012,
P0017,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B),saej2012,
P0030,HO2S Heater Control Circuit (Bank 1 Sensor 1),saej2012,
P0031,HO2S Heater Control Circuit Low (Bank 1 Sensor 1),saej2012,
P0032,HO2S Heater Control Circuit High (Bank 1 Sensor 1),saej2012,
P0036,HO2S Heater Control Circuit (Bank 1 Sensor 2),saej2012,
P0037,HO2S Heater Control Circuit Low (Bank 1 Sensor 2),saej2012,
P0038,HO2S Heater Control Circuit High (Bank 1 Sensor 2),saej2012,
P0050,HO2S Heater Control Circuit (Bank 2 Sensor 1),saej2012,
P0051,HO2S Heater Control Circuit Low (Bank 2 Sensor 1),saej2012,
P0052,HO2S Heater Control Circuit High (Bank 2 Sensor 1),saej2012,
P0056,HO2S Heater Control Circuit (Bank 2 Sensor 2),saej2012,
P005A,Camshaft Position A Park Position (Bank 2),todo,description uncertain — verify against authoritative ref before lock
P005B,Camshaft Position A Park Position Bank 2 Performance,todo,description uncertain — verify before lock
P005C,Camshaft Position A Park Position Bank 2 Low,todo,description uncertain — verify before lock; LIVE on dev RS7
P005D,Camshaft Position A Park Position Bank 2 High,todo,description uncertain — verify before lock
P005E,Camshaft Position A Park Position Bank 2 Intermittent,todo,description uncertain — verify before lock
P005F,Camshaft Position A Park Position Bank 2 Range/Performance,todo,description uncertain — verify before lock; LIVE on dev RS7
P0070,Ambient Air Temperature Sensor Circuit,saej2012,
P0073,Ambient Air Temperature Sensor Circuit High Input,saej2012,
P0075,Intake Valve Control Solenoid Circuit (Bank 1),saej2012,
P0076,Intake Valve Control Solenoid Circuit Low (Bank 1),saej2012,
P0077,Intake Valve Control Solenoid Circuit High (Bank 1),saej2012,LIVE on dev RS7
P0078,Exhaust Valve Control Solenoid Circuit (Bank 1),saej2012,
P0079,Exhaust Valve Control Solenoid Circuit Low (Bank 1),saej2012,
P007A,Exhaust Valve Control Solenoid Circuit High (Bank 1),saej2012,
P0087,Fuel Rail/System Pressure Too Low,saej2012,
P0088,Fuel Rail/System Pressure Too High,saej2012,
P0089,Fuel Pressure Regulator 1 Performance,saej2012,
P0100,Mass or Volume Air Flow Circuit,saej2012,
P0101,Mass or Volume Air Flow Circuit Range/Performance,saej2012,
P0102,Mass or Volume Air Flow Circuit Low Input,saej2012,
P0103,Mass or Volume Air Flow Circuit High Input,saej2012,
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance,saej2012,
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,saej2012,
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,saej2012,
P0117,Engine Coolant Temperature Circuit Low Input,saej2012,
P0118,Engine Coolant Temperature Circuit High Input,saej2012,
P0121,Throttle/Pedal Position Sensor A Circuit Range/Performance,saej2012,
P0122,Throttle/Pedal Position Sensor A Circuit Low Input,saej2012,
P0123,Throttle/Pedal Position Sensor A Circuit High Input,saej2012,
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),saej2012,
P0130,O2 Sensor Circuit (Bank 1 Sensor 1),saej2012,
P0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),saej2012,
P0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1),saej2012,
P0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1),saej2012,
P0134,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1),saej2012,
P0135,O2 Sensor Heater Circuit (Bank 1 Sensor 1),saej2012,
P0136,O2 Sensor Circuit (Bank 1 Sensor 2),saej2012,
P0150,O2 Sensor Circuit (Bank 2 Sensor 1),saej2012,
P0151,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1),saej2012,
P0152,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1),saej2012,
P0170,Fuel Trim (Bank 1),saej2012,
P0171,System Too Lean (Bank 1),saej2012,
P0172,System Too Rich (Bank 1),saej2012,
P0173,Fuel Trim (Bank 2),saej2012,
P0174,System Too Lean (Bank 2),saej2012,
P0175,System Too Rich (Bank 2),saej2012,
P0190,Fuel Rail Pressure Sensor Circuit,saej2012,
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,saej2012,
P0192,Fuel Rail Pressure Sensor Circuit Low Input,saej2012,
P0193,Fuel Rail Pressure Sensor Circuit High Input,saej2012,
P0201,Injector Circuit/Open - Cylinder 1,saej2012,
P0202,Injector Circuit/Open - Cylinder 2,saej2012,
P0203,Injector Circuit/Open - Cylinder 3,saej2012,
P0204,Injector Circuit/Open - Cylinder 4,saej2012,
P0205,Injector Circuit/Open - Cylinder 5,saej2012,
P0206,Injector Circuit/Open - Cylinder 6,saej2012,
P0217,Engine Coolant Over Temperature Condition,saej2012,
P0234,Turbocharger/Supercharger A Overboost Condition,saej2012,
P0235,Turbocharger/Supercharger Boost Sensor A Circuit,saej2012,
P0238,Turbocharger/Supercharger Boost Sensor A Circuit High,saej2012,
P0299,Turbocharger/Supercharger A Underboost Condition,saej2012,
P0300,Random/Multiple Cylinder Misfire Detected,saej2012,
P0301,Cylinder 1 Misfire Detected,saej2012,
P0302,Cylinder 2 Misfire Detected,saej2012,
P0303,Cylinder 3 Misfire Detected,saej2012,
P0304,Cylinder 4 Misfire Detected,saej2012,
P0305,Cylinder 5 Misfire Detected,saej2012,
P0306,Cylinder 6 Misfire Detected,saej2012,
P0327,Knock Sensor 1 Circuit Low (Bank 1 or Single Sensor),saej2012,
P0328,Knock Sensor 1 Circuit High (Bank 1 or Single Sensor),saej2012,
P0332,Knock Sensor 2 Circuit Low (Bank 2),saej2012,
P0333,Knock Sensor 2 Circuit High (Bank 2),saej2012,
P0340,Camshaft Position Sensor A Circuit (Bank 1),saej2012,
P0341,Camshaft Position Sensor A Circuit Range/Performance (Bank 1),saej2012,
P0345,Camshaft Position Sensor A Circuit (Bank 2),saej2012,
P0420,Catalyst System Efficiency Below Threshold (Bank 1),saej2012,
P0430,Catalyst System Efficiency Below Threshold (Bank 2),saej2012,
P0440,Evaporative Emission Control System,saej2012,
P0442,Evaporative Emission Control System Leak Detected (Small Leak),saej2012,
P0455,Evaporative Emission Control System Leak Detected (Gross Leak),saej2012,
P0506,Idle Control System RPM Lower Than Expected,saej2012,
P0507,Idle Control System RPM Higher Than Expected,saej2012,
P0606,PCM/ECM Processor Fault,saej2012,
P0700,Transmission Control System (MIL Request),saej2012,
